latlon,pop

"(37.788477999999998, -122.510828)",2418

"(37.781448222222217, -122.510828)",474

"(37.774418444444443, -122.510828)",1432

"(37.767388666666662, -122.510828)",22

"(37.760358888888888, -122.510828)",1152

"(37.753329111111107, -122.510828)",1096

"(37.746299333333333, -122.510828)",39

"(37.739269555555552, -122.510828)",1636

"(37.732239777777778, -122.510828)",1222

"(37.725209999999997, -122.510828)",972

"(37.788477999999998, -122.49649277777777)",762

"(37.781448222222217, -122.49649277777777)",1581

"(37.774418444444443, -122.49649277777777)",906

"(37.767388666666662, -122.49649277777777)",762

"(37.760358888888888, -122.49649277777777)",92

"(37.753329111111107, -122.49649277777777)",1078

"(37.746299333333333, -122.49649277777777)",1427

"(37.739269555555552, -122.49649277777777)",979

"(37.732239777777778, -122.49649277777777)",882

"(37.725209999999997, -122.49649277777777)",81

"(37.788477999999998, -122.48215755555556)",717

"(37.781448222222217, -122.48215755555556)",1685

"(37.774418444444443, -122.48215755555556)",1202

"(37.767388666666662, -122.48215755555556)",8

"(37.760358888888888, -122.48215755555556)",1373

"(37.753329111111107, -122.48215755555556)",1167

"(37.746299333333333, -122.48215755555556)",1461

"(37.739269555555552, -122.48215755555556)",618

"(37.732239777777778, -122.48215755555556)",805

"(37.725209999999997, -122.48215755555556)",5991

"(37.788477999999998, -122.46782233333333)",982

"(37.781448222222217, -122.46782233333333)",1648

"(37.774418444444443, -122.46782233333333)",2204

"(37.767388666666662, -122.46782233333333)",2960

"(37.760358888888888, -122.46782233333333)",1195

"(37.753329111111107, -122.46782233333333)",716

"(37.746299333333333, -122.46782233333333)",670

"(37.739269555555552, -122.46782233333333)",5

"(37.732239777777778, -122.46782233333333)",421

"(37.725209999999997, -122.46782233333333)",245

"(37.788477999999998, -122.45348711111112)",5459

"(37.781448222222217, -122.45348711111112)",1059

"(37.774418444444443, -122.45348711111112)",155

"(37.767388666666662, -122.45348711111112)",2383

"(37.760358888888888, -122.45348711111112)",1576

"(37.753329111111107, -122.45348711111112)",1085

"(37.746299333333333, -122.45348711111112)",1402

"(37.739269555555552, -122.45348711111112)",6

"(37.732239777777778, -122.45348711111112)",536

"(37.725209999999997, -122.45348711111112)",1215

"(37.788477999999998, -122.43915188888889)",4720

"(37.781448222222217, -122.43915188888889)",7121

"(37.774418444444443, -122.43915188888889)",1727

"(37.767388666666662, -122.43915188888889)",886

"(37.760358888888888, -122.43915188888889)",1100

"(37.753329111111107, -122.43915188888889)",675

"(37.746299333333333, -122.43915188888889)",914

"(37.739269555555552, -122.43915188888889)",534

"(37.732239777777778, -122.43915188888889)",533

"(37.725209999999997, -122.43915188888889)",1234

"(37.788477999999998, -122.42481666666667)",3090

"(37.781448222222217, -122.42481666666667)",3516

"(37.774418444444443, -122.42481666666667)",2380

"(37.767388666666662, -122.42481666666667)",68

"(37.760358888888888, -122.42481666666667)",3084

"(37.753329111111107, -122.42481666666667)",1135

"(37.746299333333333, -122.42481666666667)",1242

"(37.739269555555552, -122.42481666666667)",1168

"(37.732239777777778, -122.42481666666667)",835

"(37.725209999999997, -122.42481666666667)",430

"(37.788477999999998, -122.41048144444444)",303

"(37.781448222222217, -122.41048144444444)",240

"(37.774418444444443, -122.41048144444444)",10471

"(37.767388666666662, -122.41048144444444)",6873

"(37.760358888888888, -122.41048144444444)",3113

